district,month,units,load,year
Adilabad,Apr,586815.0,27357.062,2019
Adilabad,Aug,352599.0,27437.062,2019
Adilabad,Dec,738218.0,27605.062,2019
Adilabad,Feb,780964.0,27265.642,2019
Adilabad,Jan,803019.0,27154.642,2019
Adilabad,Jul,395715.0,27407.062,2019
Adilabad,Jun,473485.0,27407.062,2019
Adilabad,Mar,785134.0,27337.142,2019
Adilabad,May,460784.0,27382.062,2019
Adilabad,Nov,350213.0,27443.062,2019
Adilabad,Oct,397831.0,27458.062,2019
Adilabad,Sep,328505.0,27447.062,2019
Karimnagar,Apr,2643103.0,85178.904,2019
Karimnagar,Aug,2582587.0,86516.754,2019
Karimnagar,Dec,3058079.0,88200.334,2019
Karimnagar,Feb,3043208.0,84672.334,2019
Karimnagar,Jan,3122451.0,84242.334,2019
Karimnagar,Jul,2764926.0,86348.454,2019
Karimnagar,Jun,3005400.0,86090.904,2019
Karimnagar,Mar,2388016.0,85002.144,2019
Karimnagar,May,2825487.0,85343.904,2019
Karimnagar,Nov,2307081.86,87729.854,2019
Karimnagar,Oct,2375405.0,87276.264,2019
Karimnagar,Sep,2309124.0,86873.374,2019
Khammam,Apr,4715701.0,98525.23,2019
Khammam,Aug,3935664.0,98563.14,2019
Khammam,Dec,3764728.5,99184.95,2019
Khammam,Feb,4882516.5,98339.2,2019
Khammam,Jan,4289417.5,98009.46,2019
Khammam,Jul,4163984.0,98403.14,2019
Khammam,Jun,4316595.5,98719.14,2019
Khammam,Mar,4238748.0,98481.23,2019
Khammam,May,4303235.0,98525.14,2019
Khammam,Nov,3614451.5,98932.37,2019
Khammam,Oct,3605355.0,98792.44,2019
Khammam,Sep,3790726.16,100628.14,2019
Nizamabad,Apr,2006628.0,91831.882,2019
Nizamabad,Aug,1474115.0,92295.245,2019
Nizamabad,Dec,2467310.0,93665.528,2019
Nizamabad,Feb,2297919.0,91497.742,2019
Nizamabad,Jan,2669320.0,91604.295,2019
Nizamabad,Jul,1751083.0,92249.425,2019
Nizamabad,Jun,2111320.0,92073.522,2019
Nizamabad,Mar,1766864.0,91710.372,2019
Nizamabad,May,2026373.5,91858.882,2019
Nizamabad,Nov,1345713.0,93295.938,2019
Nizamabad,Oct,1330520.0,92838.645,2019
Nizamabad,Sep,1465969.2,92400.745,2019
Warangal,Apr,2187425.0,72207.2,2019
Warangal,Aug,1696115.62,72865.378,2019
Warangal,Dec,1751223.0,73151.15,2019
Warangal,Feb,2415557.0,71752.71,2019
Warangal,Jan,2314489.0,71796.21,2019
Warangal,Jul,1719714.7,72753.5,2019
Warangal,Jun,1930621.3,72544.90000000001,2019
Warangal,Mar,2085068.0,71837.71,2019
Warangal,May,2068527.0,72467.59,2019
Warangal,Nov,543155.71,73040.38,2019
Warangal,Oct,1618537.5,73169.38,2019
Warangal,Sep,1721361.0,73001.298,2019
Adilabad,Apr,307062.0,27871.922,2020
Adilabad,Aug,316833.0,28014.962000000003,2020
Adilabad,Dec,840394.0,28164.802,2020
Adilabad,Feb,889887.0,27838.922,2020
Adilabad,Jan,875862.0,27615.062,2020
Adilabad,Jul,335105.0,27951.462,2020
Adilabad,Jun,320893.0,27920.462,2020
Adilabad,Mar,773793.0,27871.922,2020
Adilabad,May,399443.0,27876.922,2020
Adilabad,Nov,524653.0,28139.802,2020
Adilabad,Oct,310473.0,28122.802,2020
Adilabad,Sep,272920.0,28061.962,2020
Karimnagar,Apr,1416135.0,89791.634,2020
Karimnagar,Aug,2756117.0,87751.794,2020
Karimnagar,Dec,3743452.0,90270.27,2020
Karimnagar,Feb,2941917.0,89373.874,2020
Karimnagar,Jan,3645717.0,88931.32400000001,2020
Karimnagar,Jul,2776190.0,87712.794,2020
Karimnagar,Jun,2238333.0,87558.854,2020
Karimnagar,Mar,3037400.0,89673.634,2020
Karimnagar,May,2366940.0,88634.164,2020
Karimnagar,Nov,2735668.0,89214.28,2020
Karimnagar,Oct,2786614.0,88500.794,2020
Karimnagar,Sep,2416061.0,88012.794,2020
Khammam,Apr,2396360.0,99461.121,2020
Khammam,Aug,3226273.0,100279.871,2020
Khammam,Dec,3806421.0,101819.561,2020
Khammam,Feb,4299737.0,99156.621,2020
Khammam,Jan,4042790.5,98806.95,2020
Khammam,Jul,3305717.5,99829.441,2020
Khammam,Jun,3117304.8,99733.441,2020
Khammam,Mar,4105650.0,99485.621,2020
Khammam,May,2830800.4,99506.691,2020
Khammam,Nov,3488854.5,101442.081,2020
Khammam,Oct,3512175.5,101099.081,2020
Khammam,Sep,3233630.5,100551.871,2020
Nizamabad,Apr,1071556.0,88327.164,2020
Nizamabad,Aug,1420391.4,86533.145,2020
Nizamabad,Dec,3153868.0,86264.495,2020
Nizamabad,Feb,2241079.0,93729.954,2020
Nizamabad,Jan,2795349.5,93858.468,2020
Nizamabad,Jul,1660512.0,86356.705,2020
Nizamabad,Jun,1770789.0,86214.335,2020
Nizamabad,Mar,2007960.0,88528.164,2020
Nizamabad,May,1956044.36,86113.654,2020
Nizamabad,Nov,1822493.0,85795.785,2020
Nizamabad,Oct,1460163.0,87821.785,2020
Nizamabad,Sep,1444548.0,87010.985,2020
Warangal,Apr,1074886.0,73970.692,2020
Warangal,Aug,1739966.0,74262.822,2020
Warangal,Dec,1978926.0,75363.792,2020
Warangal,Feb,2585324.5,73461.548,2020
Warangal,Jan,2455299.0,73341.87,2020
Warangal,Jul,1977497.5,74156.892,2020
Warangal,Jun,2011028.0,74060.162,2020
Warangal,Mar,2520301.0,73915.892,2020
Warangal,May,2825734.5,74003.982,2020
Warangal,Nov,1605403.0,74778.082,2020
Warangal,Oct,1785629.5,74535.342,2020
Warangal,Sep,1594778.0,74489.842,2020
Adilabad,Apr,495497.0,28542.622,2021
Adilabad,Aug,289925.0,28772.122,2021
Adilabad,Dec,604091.0,28843.824,2021
Adilabad,Feb,803631.0,28291.042,2021
Adilabad,Jan,908151.0,28327.542,2021
Adilabad,Jul,312813.0,28772.122,2021
Adilabad,Jun,322145.0,28648.122,2021
Adilabad,Mar,510255.0,28380.712000000003,2021
Adilabad,May,400319.0,28660.622,2021
Adilabad,Nov,424465.0,28840.824,2021
Adilabad,Oct,273174.0,28791.824,2021
Adilabad,Sep,293662.0,28761.824,2021
Karimnagar,Apr,3176805.0,87497.419,2021
Karimnagar,Aug,2624384.0,88845.769,2021
Karimnagar,Dec,3309991.0,90002.825,2021
Karimnagar,Feb,3308204.0,87065.63,2021
Karimnagar,Jan,3744473.0,86891.01,2021
Karimnagar,Jul,2929638.0,88452.289,2021
Karimnagar,Jun,2514460.0,87995.579,2021
Karimnagar,Mar,3144942.0,87291.969,2021
Karimnagar,May,2574134.0,87673.419,2021
Karimnagar,Nov,2433554.0,89785.825,2021
Karimnagar,Oct,2319219.0,89199.285,2021
Karimnagar,Sep,2750479.0,89097.769,2021
Khammam,Apr,4223194.0,103342.791,2021
Khammam,Aug,3317654.5,104296.961,2021
Khammam,Dec,3479031.0,105004.921,2021
Khammam,Feb,4151363.5,102729.021,2021
Khammam,Jan,4165352.0,102261.121,2021
Khammam,Jul,3375071.5,103868.961,2021
Khammam,Jun,3081825.5,103812.731,2021
Khammam,Mar,3865510.0,103020.521,2021
Khammam,May,3429089.0,103672.041,2021
Khammam,Nov,3408005.0,104745.261,2021
Khammam,Oct,3755626.0,105095.001,2021
Khammam,Sep,3551688.0,104493.961,2021
Nizamabad,Apr,2344149.0,87998.685,2021
Nizamabad,Aug,1917767.0,88592.575,2021
Nizamabad,Dec,2006517.0,86455.615,2021
Nizamabad,Feb,2552599.0,86750.635,2021
Nizamabad,Jan,3029363.0,86641.495,2021
Nizamabad,Jul,2035250.0,88804.985,2021
Nizamabad,Jun,1971676.0,88723.985,2021
