district,month,SO2,NOx,PM10,PM2.5,NH3,year
Khammam,Jan,6.0,19.0,46.0,,,2016
Khammam,Feb,7.0,19.0,51.0,,,2016
Khammam,Mar,6.1,20.7,54.0,,,2016
Khammam,Apr,8.0,19.0,51.0,,,2016
Khammam,May,7.0,19.0,47.0,,,2016
Khammam,Jun,5.0,21.0,47.0,,20.0,2016
Khammam,Jul,8.0,22.0,41.0,,22.0,2016
Khammam,Aug,5.0,14.0,37.0,,20.0,2016
Khammam,Sep,8.0,17.0,39.0,,21.0,2016
Khammam,Oct,7.0,23.0,48.0,,21.0,2016
Khammam,Nov,7.0,24.0,55.0,,28.0,2016
Khammam,Dec,8.0,27.0,60.0,,22.0,2016
Nizamabad,Jun,4.0,15.0,61.0,38.0,21.0,2016
Nizamabad,Jul,4.0,17.0,57.0,28.0,21.0,2016
Nizamabad,Aug,5.0,18.0,58.0,28.0,21.0,2016
Nizamabad,Sep,5.0,18.0,56.0,27.0,21.0,2016
Nizamabad,Oct,6.0,22.0,64.0,32.0,21.0,2016
Nizamabad,Nov,5.0,21.0,60.0,29.0,21.0,2016
Nizamabad,Dec,5.0,21.0,62.0,32.0,21.0,2016
Adilabad,Jun,4.0,15.0,66.0,40.0,21.0,2016
Adilabad,Jul,4.0,16.0,60.0,30.0,21.0,2016
Adilabad,Aug,4.0,17.0,61.0,29.0,21.0,2016
Adilabad,Sep,5.0,18.0,58.0,28.0,21.0,2016
Adilabad,Oct,5.0,22.0,67.0,33.0,21.0,2016
Adilabad,Nov,5.0,20.0,63.0,30.0,21.0,2016
Adilabad,Dec,5.0,21.0,65.0,34.0,21.0,2016
Karimnagar,Jan,8.5,21.5,92.0,,29.0,2016
Karimnagar,Feb,9.5,25.5,76.0,,26.5,2016
Karimnagar,Mar,8.33,34.05,59.0,,25.0,2016
Karimnagar,Apr,7.5,31.5,68.0,,23.0,2016
Karimnagar,May,7.0,25.5,54.0,,22.5,2016
Karimnagar,Jun,6.0,25.0,44.0,,22.0,2016
Karimnagar,Jul,5.5,21.5,23.0,,20.5,2016
Karimnagar,Aug,6.5,22.5,37.0,,21.0,2016
Karimnagar,Sep,7.0,25.5,32.0,,21.0,2016
Karimnagar,Oct,7.0,24.5,54.0,,23.0,2016
Karimnagar,Nov,7.0,26.0,83.5,,23.5,2016
Karimnagar,Dec,7.5,26.5,94.5,,23.0,2016
Warangal,Jan,7.0,23.0,74.5,,22.0,2016
Warangal,Feb,7.0,19.5,72.0,,21.0,2016
Warangal,Mar,6.9,22.3,65.5,,23.0,2016
Warangal,Apr,7.0,24.0,73.5,,21.0,2016
Warangal,May,8.0,20.5,80.0,,21.0,2016
Warangal,Jun,7.0,21.0,70.0,,24.5,2016
Warangal,Jul,7.0,21.0,53.5,,21.0,2016
Warangal,Aug,6.5,24.0,40.0,,21.0,2016
Warangal,Sep,7.5,22.5,49.0,,20.0,2016
Warangal,Oct,7.0,24.0,61.5,,22.0,2016
Warangal,Nov,6.5,22.5,69.5,,21.5,2016
Warangal,Dec,8.0,30.0,83.5,,22.5,2016
Nizamabad,Jan,,,67.0,,,2016
Nizamabad,Feb,,,64.0,,,2016
Nizamabad,Mar,,,66.0,,,2016
Nizamabad,Apr,,,68.0,,,2016
Nizamabad,May,,,71.0,43.0,,2016
Adilabad,Jan,,,62.0,,,2016
Adilabad,Feb,,,68.0,,,2016
Adilabad,Mar,,,71.0,,,2016
Adilabad,Apr,,,70.0,,,2016
Adilabad,May,,,69.0,40.0,,2016
Khammam,Jan,7.0,27.0,60.0,,21.0,2017
Khammam,Feb,8.0,26.0,64.0,,23.0,2017
Khammam,Mar,8.0,28.0,54.0,,27.0,2017
Khammam,Apr,8.0,27.0,54.0,,23.0,2017
Khammam,May,8.0,27.0,57.0,,23.0,2017
Khammam,Jun,7.4,24.0,42.0,,23.0,2017
Khammam,Jul,7.0,22.0,38.0,,22.0,2017
Khammam,Aug,6.0,23.0,64.0,,21.0,2017
Khammam,Sep,7.0,22.0,50.0,,19.0,2017
Khammam,Oct,7.0,19.0,63.0,,29.0,2017
Khammam,Nov,7.0,20.0,54.0,,32.0,2017
Khammam,Dec,7.7,26.3,60.0,,26.0,2017
Nizamabad,Jan,5.0,20.0,61.0,32.0,21.0,2017
Nizamabad,Feb,5.0,20.0,62.0,30.0,21.0,2017
Nizamabad,Mar,5.0,21.0,63.0,31.0,21.0,2017
Nizamabad,Apr,5.0,20.0,67.0,34.0,21.0,2017
Nizamabad,May,5.0,20.0,68.0,33.0,21.0,2017
Nizamabad,Jun,5.0,20.0,63.0,30.0,17.0,2017
Nizamabad,Jul,5.0,21.0,57.0,26.0,17.0,2017
Nizamabad,Aug,5.0,21.0,59.0,27.0,17.0,2017
Nizamabad,Sep,5.0,21.0,60.0,27.0,17.0,2017
Nizamabad,Oct,6.0,21.0,59.0,28.0,17.0,2017
Nizamabad,Nov,6.0,21.0,59.0,27.0,17.0,2017
Nizamabad,Dec,6.0,22.0,59.0,26.0,18.0,2017
Adilabad,Jan,5.0,21.0,64.0,35.0,21.0,2017
Adilabad,Feb,5.0,21.0,64.0,32.0,21.0,2017
Adilabad,Mar,6.0,20.0,68.0,30.0,21.0,2017
Adilabad,Apr,5.0,20.0,69.0,35.0,21.0,2017
Adilabad,May,5.0,19.0,71.0,35.0,21.0,2017
Adilabad,Jun,4.0,20.0,66.0,32.0,18.0,2017
Adilabad,Jul,5.0,21.0,61.0,32.0,17.0,2017
Adilabad,Aug,5.0,21.0,61.0,28.0,17.0,2017
Adilabad,Sep,5.0,21.0,61.0,28.0,17.0,2017
Adilabad,Oct,5.0,22.0,62.0,31.0,16.0,2017
Adilabad,Nov,6.0,21.0,63.0,28.0,15.0,2017
Adilabad,Dec,6.0,21.0,64.0,28.0,18.0,2017
Karimnagar,Jan,7.5,27.0,98.0,,24.0,2017
Karimnagar,Feb,7.5,28.5,88.0,,24.0,2017
Karimnagar,Mar,7.5,26.5,79.5,,23.0,2017
Karimnagar,Apr,8.0,26.0,79.0,,24.0,2017
Karimnagar,May,7.5,27.5,79.5,,24.0,2017
Karimnagar,Jun,7.199999999999999,23.85,63.0,,23.0,2017
Karimnagar,Jul,7.0,26.0,45.5,,22.0,2017
Karimnagar,Aug,6.5,25.0,51.5,,23.5,2017
Karimnagar,Sep,7.0,22.5,65.5,,21.0,2017
Karimnagar,Oct,8.0,29.0,68.5,,31.0,2017
Karimnagar,Nov,7.5,24.0,86.0,,24.0,2017
Karimnagar,Dec,8.05,26.45,87.5,,25.0,2017
Warangal,Jan,8.0,25.5,74.5,,22.0,2017
Warangal,Feb,8.0,27.0,74.5,,23.5,2017
Warangal,Mar,7.5,26.0,68.0,,21.5,2017
Warangal,Apr,8.0,27.5,73.0,,27.0,2017
Warangal,May,8.0,27.0,69.5,,26.5,2017
Warangal,Jun,7.05,23.950000000000003,62.0,,21.5,2017
Warangal,Jul,6.5,25.0,49.5,,23.0,2017
Warangal,Aug,6.5,22.0,55.0,,22.0,2017
Warangal,Sep,6.5,21.5,61.0,,20.5,2017
Warangal,Oct,8.5,21.0,60.5,,38.0,2017
Warangal,Nov,7.0,25.5,70.5,,22.5,2017
Warangal,Dec,7.5,25.950000000000003,74.0,,23.0,2017
Khammam,Jan,8.1,28.0,67.0,,25.0,2018
Khammam,Mar,7.2,31.6,71.0,,55.0,2018
Khammam,Apr,8.6,36.0,77.0,,49.0,2018
Khammam,May,8.5,40.1,77.0,,58.0,2018
Khammam,Jun,8.783771494708995,37.93569129887728,82.81968802790495,,57.462351190476205,2018
Khammam,Jul,8.6,36.8,75.0,,56.0,2018
Khammam,Aug,8.7,36.4,79.0,,51.0,2018
Khammam,Sep,8.9,38.7,84.0,,54.0,2018
Khammam,Oct,9.1,37.9,85.0,,53.0,2018
Khammam,Nov,9.7,44.3,92.0,,54.0,2018
Khammam,Dec,9.6,41.8,88.0,,63.0,2018
Nizamabad,Jan,6.0,22.4,61.0,24.0,,2018
Nizamabad,Feb,6.0,22.4,61.0,25.0,,2018
Nizamabad,Mar,5.9,22.2,66.0,31.0,,2018
Nizamabad,Apr,5.9,21.8,70.0,32.0,,2018
Nizamabad,May,5.9,22.6,47.0,32.0,,2018
Nizamabad,Jun,5.907407407407408,22.25925925925926,64.18518518518518,26.444444444444443,,2018
Nizamabad,Jul,5.7,22.462962962962965,58.518518518518526,23.88888888888889,,2018
Nizamabad,Aug,5.6,22.4,60.0,24.0,,2018
Nizamabad,Sep,5.8,23.1,64.0,24.0,,2018
Nizamabad,Oct,6.2,23.6,48.0,24.0,,2018
Nizamabad,Nov,5.6,25.0,56.0,37.0,,2018
Nizamabad,Dec,5.7,24.6,62.0,,,2018
Adilabad,Jan,6.1,21.3,66.0,28.0,,2018
Adilabad,Feb,6.2,21.5,67.0,31.0,,2018
Adilabad,Mar,6.0,21.3,70.0,33.0,,2018
Adilabad,Apr,6.0,22.1,74.0,35.0,,2018
Adilabad,May,5.9,22.4,74.0,34.0,,2018
Adilabad,Jun,5.814814814814815,22.425925925925927,68.66666666666669,29.11111111111111,,2018
Adilabad,Jul,5.851851851851851,22.444444444444443,63.81481481481481,27.11111111111111,,2018
Adilabad,Aug,5.7,22.4,64.0,26.0,,2018
Adilabad,Sep,5.7,23.9,61.0,28.0,,2018
Adilabad,Oct,5.9,25.8,67.0,28.0,,2018
Adilabad,Nov,6.3,26.8,71.0,41.0,,2018
Adilabad,Dec,5.7,24.9,81.0,47.0,,2018
Karimnagar,Jan,8.4,32.85,135.5,64.5,24.0,2018
Karimnagar,Feb,10.0,47.95,102.0,51.0,59.5,2018
Karimnagar,Mar,7.65,37.05,98.0,46.0,62.0,2018
Karimnagar,Apr,8.649999999999999,40.3,100.0,48.5,51.0,2018
Karimnagar,May,8.9,42.4,100.5,45.0,58.5,2018
Karimnagar,Jun,8.993422833382324,39.1194592611711,102.47135092239104,48.22222222222222,61.829803240740745,2018
Karimnagar,Jul,8.75,37.2,89.0,41.5,60.5,2018
Karimnagar,Aug,8.2,40.05,91.5,44.5,62.5,2018
Karimnagar,Sep,9.1,39.400000000000006,97.5,36.5,54.0,2018
Karimnagar,Oct,9.1,36.5,98.0,40.0,57.5,2018
Karimnagar,Nov,9.75,44.400000000000006,109.0,,56.5,2018
Karimnagar,Dec,9.5,42.95,100.5,,58.0,2018
Warangal,Jan,7.65,27.35,112.0,47.0,24.0,2018
Warangal,Feb,6.65,37.95,95.0,44.0,55.5,2018
Warangal,Mar,7.199999999999999,32.4,80.0,39.0,59.0,2018
Warangal,Apr,8.3,36.6,82.0,41.0,46.5,2018
Warangal,May,8.45,40.3,82.5,42.0,50.0,2018
Warangal,Jun,12.581713025287137,33.32044334409652,84.78298561384071,39.66666666666666,59.27214361496914,2018
Warangal,Jul,22.35,36.35,71.5,34.0,56.0,2018
Warangal,Aug,8.7,36.3,76.0,34.0,55.0,2018
Warangal,Sep,8.649999999999999,37.15,80.5,31.0,52.0,2018
Warangal,Oct,9.0,38.900000000000006,87.5,40.0,57.0,2018
Warangal,Nov,9.9,45.900000000000006,97.0,41.0,52.0,2018
Warangal,Dec,9.75,42.650000000000006,87.0,38.0,59.0,2018
Khammam,Feb,,38.6,66.0,,62.0,2018
Khammam,Jan,10.6,55.1,95.0,,62.0,2019
Khammam,Feb,9.2,57.8,90.0,,65.0,2019
Khammam,Mar,10.2,54.6,91.0,,67.0,2019
Khammam,Apr,9.9,54.8,90.0,,73.0,2019
Khammam,May,8.7,53.6,88.0,,68.0,2019
Khammam,Jun,8.6,46.9,81.0,,64.0,2019
Khammam,Jul,8.1,49.8,77.0,,61.0,2019
Khammam,Aug,8.4,48.5,84.0,,60.0,2019
Khammam,Sep,8.0,49.7,78.0,,64.0,2019
Khammam,Oct,7.1,50.8,86.0,,61.0,2019
Khammam,Nov,6.907407407407408,52.0,85.0,,64.0,2019
Khammam,Dec,6.6,48.9,84.0,,68.0,2019
Nizamabad,Jan,5.5,24.3,64.0,,,2019
Nizamabad,Feb,5.6,24.9,61.0,,,2019
Nizamabad,Mar,5.6,24.4,61.0,,,2019
